Ticker,Year,Adj_Return,SP500_Return,Excess_Return
ADM,2010,-0.019293393413079563,0.151,-0.17029339341307956
BGS,2010,0.5876489106537965,0.151,0.4366489106537965
CAG,2010,0.01489857320898591,0.151,-0.13610142679101409
CPB,2010,0.06109380245554563,0.151,-0.08990619754445436
DAR,2010,0.5847255369928399,0.151,0.4337255369928399
FLO,2010,0.1671533169560997,0.151,0.0161533169560997
GIS,2010,0.35552112810433156,0.151,0.20452112810433157
INGR,2010,0.5972636395370703,0.151,0.44626363953707027
K,2010,-0.010096312106386174,0.151,-0.16109631210638617
MKC,2010,0.32157111886053724,0.151,0.17057111886053725
SJM,2010,0.09103679198617387,0.151,-0.059963208013826125
THS,2010,0.3147195059186825,0.151,0.16371950591868248
TR,2010,0.1030024494536943,0.151,-0.047997550546305695
TSN,2010,0.4168205022706961,0.151,0.2658205022706961
HSY,2010,0.35552112810433156,0.151,0.20452112810433157
ADM,2011,-0.029050690057241813,0.021,-0.05005069005724182
BGS,2011,0.83093461063279,0.021,0.8099346106327899
CAG,2011,0.2141024457627272,0.021,0.1931024457627272
CPB,2011,-0.009709205130736698,0.021,-0.0307092051307367
DAR,2011,0.0007530120481926694,0.021,-0.020246987951807332
FLO,2011,0.08772124105561163,0.021,0.06672124105561163
GIS,2011,0.34362701623506653,0.021,0.3226270162350665
INGR,2011,0.15889931400489776,0.021,0.13789931400489777
K,2011,0.021749247276681594,0.021,0.0007492472766815923
MKC,2011,0.10959819382286318,0.021,0.08859819382286317
SJM,2011,0.22158161880458405,0.021,0.20058161880458406
THS,2011,0.27970248580935597,0.021,0.25870248580935595
TR,2011,-0.1480195845943013,0.021,-0.1690195845943013
TSN,2011,0.20896116229430484,0.021,0.18796116229430485
HSY,2011,0.34362701623506653,0.021,0.3226270162350665
ADM,2012,-0.01832030472292734,0.16,-0.17832030472292734
ANFI,2012,,0.16,
BGS,2012,0.2250679648392131,0.16,0.0650679648392131
CAG,2012,0.14936298429901584,0.16,-0.01063701570098416
CPB,2012,0.09432325470400826,0.16,-0.06567674529599174
DAR,2012,0.2069224981188864,0.16,0.04692249811888641
FLO,2012,0.2622266258214825,0.16,0.10222662582148248
GIS,2012,0.19611145782589912,0.16,0.03611145782589911
INGR,2012,0.24533535206761958,0.16,0.08533535206761958
K,2012,0.1419253051489453,0.16,-0.0180746948510547
MKC,2012,0.2867555166181446,0.16,0.12675551661814458
POST,2012,,0.16,
SJM,2012,0.13136979696314421,0.16,-0.02863020303685579
THS,2012,-0.20266136433159976,0.16,-0.3626613643315998
TR,2012,0.16412860059984524,0.16,0.004128600599845239
TSN,2012,-0.04630083053545464,0.16,-0.20630083053545464
HSY,2012,0.19611145782589912,0.16,0.03611145782589911
ADM,2013,0.6185486568635881,0.324,0.29454865686358805
ANFI,2013,0.9823899371069182,0.324,0.6583899371069182
BGS,2013,0.2428460392176357,0.324,-0.08115396078236431
CAG,2013,0.1763454492851093,0.324,-0.1476545507148907
CPB,2013,0.2582193350659572,0.324,-0.06578066493404283
DAR,2013,0.3017456359102244,0.324,-0.022254364089775602
FLO,2013,0.41374856007043004,0.324,0.08974856007043003
GIS,2013,0.37368086181643934,0.324,0.049680861816439326
INGR,2013,0.08710575761117267,0.324,-0.23689424238882734
K,2013,0.12598000586401237,0.324,-0.19801999413598764
MKC,2013,0.10711487023083288,0.324,-0.21688512976916713
POST,2013,0.4385401459854015,0.324,0.11454014598540146
SJM,2013,0.22730666913152042,0.324,-0.09669333086847959
THS,2013,0.3220794168425092,0.324,-0.0019205831574908294
TR,2013,0.3066814625845613,0.324,-0.017318537415438706
TSN,2013,0.7391264150567378,0.324,0.4151264150567378
HSY,2013,0.37368086181643934,0.324,0.049680861816439326
ADM,2014,0.22325131272125986,0.137,0.08625131272125985
ANFI,2014,-0.08946700507614214,0.137,-0.22646700507614215
BGS,2014,-0.0775038946487896,0.137,-0.2145038946487896
